Song Name,Artist,Cover Image URL,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Blinding Lights,The Weeknd,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,0.513,0.73,-5.94,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001
Shape of You,Ed Sheeran,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,0.825,0.652,-3.183,0.0802,0.581,0.0,0.0931,0.931,95.977
Someone You Loved,Lewis Capaldi,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2,0.501,0.405,-5.679,0.0319,0.751,0.0,0.105,0.446,109.891
As It Was,Harry Styles,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",https://i.scdn.co/image/ab67616d0000b273e2e352d89826aef6dbd5ff8f,0.76,0.478,-5.574,0.0467,0.552,0.0,0.0703,0.913,89.908
Starboy,"The Weeknd, Daft Punk",https://i.scdn.co/image/ab67616d0000b2730c8599cbde51245c128bcea9,0.681,0.594,-7.028,0.282,0.165,3.49e-06,0.134,0.535,186.054
One Dance,"Drake, Wizkid, Kyla",https://i.scdn.co/image/ab67616d0000b273726abca207567d5e41cb9667,0.791,0.619,-5.886,0.0532,0.00784,0.00423,0.351,0.371,103.989
STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",https://i.scdn.co/image/ab67616d0000b2738e6551a2944764bc8e33a960,0.591,0.764,-5.484,0.0483,0.0383,0.0,0.103,0.478,169.928
Sweater Weather,The Neighbourhood,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921,0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053
Believer,Imagine Dragons,https://i.scdn.co/image/ab67616d0000b2737956bd9a3d7a15e4c2e37cc6,0.779,0.787,-4.305,0.108,0.0524,0.0,0.14,0.708,124.982
Heat Waves,Glass Animals,https://i.scdn.co/image/ab67616d0000b273ab9d1ae18b640b7b0ce390d4,0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87
Dance Monkey,Tones And I,https://i.scdn.co/image/ab67616d0000b273c6f7af36ecdc3ed6e0a1f169,0.824,0.588,-6.4,0.0924,0.692,0.000104,0.149,0.513,98.027
Perfect,Ed Sheeran,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,0.599,0.448,-6.312,0.0232,0.163,0.0,0.106,0.168,95.05
rockstar,"Post Malone, 21 Savage",https://i.scdn.co/image/ab67616d0000b273345f823b6c1dbd3b4cc7b382,0.577,0.522,-6.594,0.0984,0.13,9.03e-05,0.142,0.119,159.772
Say You Won't Let Go,James Arthur,https://i.scdn.co/image/ab67616d0000b27320beb61f61fcbeb33b10a9ab,0.358,0.557,-7.398,0.059,0.695,0.0,0.0902,0.494,85.043
lovely (with Khalid),"Billie Eilish, Khalid",https://i.scdn.co/image/ab67616d0000b2738a3f0a3ca7929dea23cd274c,0.351,0.296,-10.109,0.0333,0.934,0.0,0.095,0.12,115.284
Sunlight,The Hourglass Effect,https://i.scdn.co/image/ab67616d0000b2733009676f624757941c14605c,0.396,0.905,-6.436,0.0738,0.000202,0.191,0.097,0.598,160.003
Closer,"The Chainsmokers, Halsey",https://i.scdn.co/image/ab67616d0000b273495ce6da9aeb159e94eaa453,0.748,0.524,-5.599,0.0338,0.414,0.0,0.111,0.661,95.01
Watermelon Sugar,Harry Styles,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,0.548,0.816,-4.209,0.0465,0.122,0.0,0.335,0.557,95.39
Señorita,"Shawn Mendes, Camila Cabello",https://i.scdn.co/image/ab67616d0000b273e6095c382c2853667c1623eb,0.759,0.54,-6.039,0.0287,0.037,0.0,0.0945,0.75,116.947
Something Just Like This,"The Chainsmokers, Coldplay",https://i.scdn.co/image/ab67616d0000b2730c13d3d5a503c84fcc60ae94,0.617,0.635,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019
where do i go?,leoleo,https://i.scdn.co/image/ab67616d0000b273ac8e5eff90bc7d57b8e56b12,0.586,0.587,-6.859,0.0407,0.0825,1.53e-06,0.246,0.699,93.773
Don't Start Now,Dua Lipa,https://i.scdn.co/image/ab67616d0000b2734bc66095f8a70bc4e6593f4f,0.793,0.793,-4.521,0.083,0.0123,0.0,0.0951,0.679,123.95
Riptide,Vance Joy,https://i.scdn.co/image/ab67616d0000b273d3ce97395ff522b0d70c1094,0.484,0.731,-6.694,0.0379,0.431,0.0,0.151,0.51,101.654
Take Me To Church,Hozier,https://i.scdn.co/image/ab67616d0000b2739a7dfdafc9e4f8a5db391855,0.456,0.67,-5.212,0.0574,0.588,0.0,0.116,0.405,128.632
Another Love,Tom Odell,https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f,0.445,0.537,-8.532,0.04,0.695,1.65e-05,0.0944,0.131,122.769
Lucid Dreams,Juice WRLD,https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4,0.511,0.566,-7.23,0.2,0.349,0.0,0.34,0.218,83.903
Photograph,Ed Sheeran,https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd,0.614,0.379,-10.48,0.0476,0.607,0.000464,0.0986,0.201,107.989
Wavy,Yerin,https://i.scdn.co/image/ab67616d0000b2732bf7608150318c6f01237cad,0.707,0.907,-4.069,0.0418,0.244,0.0,0.112,0.869,125.04
Counting Stars,OneRepublic,https://i.scdn.co/image/ab67616d0000b2730dcd4d3fb73a5d9ba449a5f3,0.662,0.71,-4.945,0.0364,0.0603,0.0,0.119,0.465,121.979
God's Plan,Drake,https://i.scdn.co/image/ab67616d0000b273689b62c26ee70aa450cae449,0.755,0.448,-9.587,0.107,0.0283,3.28e-05,0.514,0.318,77.179
Like Em Country,Cwby,https://i.scdn.co/image/ab67616d0000b27359ab6f9a91636c62b92de5d1,0.751,0.855,-3.737,0.0626,0.106,0.0,0.206,0.657,93.996
Circles,Post Malone,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,0.695,0.763,-3.497,0.0396,0.189,0.00242,0.0863,0.551,120.042
Cool Girls Party,Melanie Herrera,https://i.scdn.co/image/ab67616d0000b273fe9cc6e0607e0788e33b6c96,0.734,0.373,-10.301,0.0491,0.451,0.000485,0.431,0.595,109.069
Bohemian Rhapsody - Remastered 2011,Queen,https://i.scdn.co/image/ab67616d0000b273e319baafd16e84f0408af2a0,0.411,0.404,-9.928,0.0511,0.271,0.0,0.3,0.226,71.068
bad guy,Billie Eilish,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,0.701,0.425,-10.965,0.375,0.328,0.13,0.1,0.562,135.128
Thinking out Loud,Ed Sheeran,https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd,0.781,0.445,-6.061,0.0295,0.474,0.0,0.184,0.591,78.998
Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",https://i.scdn.co/image/ab67616d0000b27398a02fef3a8b1d80a0f164ec,0.641,0.922,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078
Joyride,Vlade Kay,https://i.scdn.co/image/ab67616d0000b273de8b60240dd28b8a36da0703,0.641,0.693,-7.417,0.0459,0.0125,7.47e-06,0.699,0.552,122.018
Shallow,"Lady Gaga, Bradley Cooper",https://i.scdn.co/image/ab67616d0000b273e2d156fdc691f57900134342,0.577,0.385,-6.362,0.03,0.371,0.0,0.231,0.331,95.82
goosebumps,Travis Scott,https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce,0.841,0.728,-3.37,0.0484,0.0847,0.0,0.149,0.43,130.049
Yellow,Coldplay,https://i.scdn.co/image/ab67616d0000b2739164bafe9aaa168d93f4816a,0.429,0.661,-7.227,0.0281,0.00239,0.000121,0.234,0.285,173.372
We're in Love,Cabela and Schmitt,https://i.scdn.co/image/ab67616d0000b27358859fa003e4873783cc003d,0.644,0.738,-4.632,0.0318,0.185,5.37e-06,0.048,0.475,114.067
Love Yourself,Justin Bieber,https://i.scdn.co/image/ab67616d0000b273b6d9a4fbb0bd49f0f034aead,0.609,0.378,-9.828,0.438,0.835,0.0,0.28,0.515,100.418
Cruel Summer,Taylor Swift,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,0.552,0.702,-5.707,0.157,0.117,2.06e-05,0.105,0.564,169.994
Thunder,Imagine Dragons,https://i.scdn.co/image/ab67616d0000b2737956bd9a3d7a15e4c2e37cc6,0.6,0.81,-4.749,0.0479,0.00683,0.21,0.155,0.298,167.88
All of Me,John Legend,https://i.scdn.co/image/ab67616d0000b27394c9217a398f5174757c0c78,0.422,0.264,-7.064,0.0322,0.922,0.0,0.132,0.331,119.93
I Wanna Be Yours,Arctic Monkeys,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,0.464,0.417,-9.345,0.0256,0.136,0.022,0.0974,0.479,67.528
Last Forever,Tawny K,https://i.scdn.co/image/ab67616d0000b273f94e71e96939abf7e2577e57,0.661,0.726,-3.568,0.0435,0.401,2.49e-05,0.236,0.824,94.998
Wake Me Up - Radio Edit,Avicii,https://i.scdn.co/image/ab67616d0000b273d20bacc84d203cc330a5df75,0.532,0.783,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08
Die For You,The Weeknd,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,0.586,0.525,-7.163,0.0616,0.111,0.0,0.134,0.507,133.63
Stressed Out,Twenty One Pilots,https://i.scdn.co/image/ab67616d0000b2732df0d98a423025032d0db1f7,0.734,0.637,-5.677,0.141,0.0462,2.29e-05,0.0602,0.648,169.977
Demons,Imagine Dragons,https://i.scdn.co/image/ab67616d0000b273dee648abe19dd6e10902c4ae,0.327,0.71,-2.928,0.0547,0.202,9e-05,0.28,0.416,179.561
If Tomorrow Never Comes Radio Edit,"Zenon Z'Adore, Ghost Angel",https://i.scdn.co/image/ab67616d0000b27384d40449cca8b81bfc292888,0.323,0.274,-15.606,0.0369,0.621,0.00213,0.147,0.163,175.243
The Hills,The Weeknd,https://i.scdn.co/image/ab67616d0000b273aac98daa18e4edf54d7a0a70,0.356,0.567,-7.011,0.0798,0.0861,0.0,0.137,0.109,135.553
The Night We Met,Lord Huron,https://i.scdn.co/image/ab67616d0000b27317875a0610c23d8946454583,0.448,0.369,-9.514,0.0452,0.968,0.272,0.638,0.0998,174.097
No Role Modelz,J. Cole,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8,0.69,0.521,-8.492,0.339,0.324,0.0,0.0534,0.494,100.028
Let Her Go,Passenger,https://i.scdn.co/image/ab67616d0000b273cd318f88c2016b08fa9834f9,0.509,0.538,-7.335,0.0572,0.385,0.0,0.104,0.244,75.089
Liberty,Rebecca,https://i.scdn.co/image/ab67616d0000b273c1c86c7d84856e0474ea6b6b,0.571,0.352,-10.009,0.0257,0.0203,0.00174,0.337,0.204,86.06
HUMBLE.,Kendrick Lamar,https://i.scdn.co/image/ab67616d0000b2739e0062560d8bcccca15d412a,0.906,0.625,-6.779,0.0903,0.000243,3.23e-05,0.0975,0.423,150.018
7 rings,Ariana Grande,https://i.scdn.co/image/ab67616d0000b27356ac7b86e090f307e218e9c8,0.777,0.317,-10.732,0.308,0.591,0.0,0.0881,0.33,139.848
Viva La Vida,Coldplay,https://i.scdn.co/image/ab67616d0000b273e21cc1db05580b6f2d2a3b6e,0.486,0.617,-7.115,0.0287,0.0954,3.23e-06,0.109,0.417,138.015
Mr. Brightside,The Killers,https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d,0.352,0.911,-5.23,0.0747,0.00121,0.0,0.0995,0.236,148.033
Do I Wanna Know?,Arctic Monkeys,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,0.548,0.532,-7.596,0.0323,0.186,0.000263,0.217,0.405,85.03
Without Me,Eminem,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4,0.908,0.669,-2.827,0.0738,0.00286,0.0,0.237,0.662,112.238
Lose Yourself,Eminem,https://i.scdn.co/image/ab67616d0000b2733f66b5b49ccea004a5ef0db2,0.689,0.735,-4.545,0.267,0.00922,0.00072,0.365,0.059,171.403
When I Was Your Man,Bruno Mars,https://i.scdn.co/image/ab67616d0000b27349055dce3554e72e82082980,0.601,0.271,-8.688,0.0403,0.937,0.0,0.144,0.411,145.494
drivers license,Olivia Rodrigo,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,0.561,0.431,-8.81,0.0578,0.768,1.42e-05,0.106,0.137,143.875
Just Like That,XANDi,https://i.scdn.co/image/ab67616d0000b273568f86a2e9c3dfb067831a79,0.783,0.612,-6.602,0.0452,0.311,0.0,0.119,0.756,117.955
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",https://i.scdn.co/image/ab67616d0000b273d09f96d82310d4d77c14c108,0.791,0.862,-3.24,0.11,0.037,2.19e-05,0.0814,0.592,123.994
Just the Way You Are,Bruno Mars,https://i.scdn.co/image/ab67616d0000b273f60070dce96a2c1b70cf6ff0,0.635,0.841,-5.379,0.0422,0.0134,0.0,0.0622,0.424,109.021
Treat You Better,Shawn Mendes,https://i.scdn.co/image/ab67616d0000b273ea3ef7697cfd5705b8f47521,0.443,0.82,-4.091,0.34,0.107,0.0,0.107,0.771,82.697
SAD!,XXXTENTACION,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c,0.74,0.613,-4.88,0.145,0.258,0.00372,0.123,0.473,75.023
good 4 u,Olivia Rodrigo,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,0.563,0.664,-5.044,0.154,0.335,0.0,0.0849,0.688,166.928
Let Me Love You,"DJ Snake, Justin Bieber",https://i.scdn.co/image/ab67616d0000b273212d776c31027c511f0ee3bc,0.475,0.715,-5.371,0.058,0.0863,2.67e-05,0.135,0.159,199.892
Jocelyn Flores,XXXTENTACION,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5,0.872,0.391,-9.144,0.242,0.469,4.13e-06,0.297,0.437,134.021
Unforgettable,"French Montana, Swae Lee",https://i.scdn.co/image/ab67616d0000b2738a31195a371b2233456f6c07,0.726,0.769,-5.043,0.123,0.0293,0.0101,0.104,0.733,97.985
Happier,"Marshmello, Bastille",https://i.scdn.co/image/ab67616d0000b27304bfd5a5fd5aa6ca648f66aa,0.687,0.792,-2.749,0.0452,0.191,0.0,0.167,0.671,100.011
Every Breath You Take,The Police,https://i.scdn.co/image/ab67616d0000b273c8e97cafeb2acb85b21a777e,0.82,0.452,-9.796,0.0348,0.543,0.00294,0.0714,0.74,117.401
Flowers,Miley Cyrus,https://i.scdn.co/image/ab67616d0000b273cd222052a2594be29a6616b5,0.706,0.691,-4.775,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048
That's What I Like,Bruno Mars,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5,0.853,0.56,-4.961,0.0406,0.013,0.0,0.0944,0.86,134.066
In the End,Linkin Park,https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a,0.556,0.864,-5.87,0.0584,0.00958,0.0,0.209,0.4,105.143
SICKO MODE,Travis Scott,https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3,0.834,0.73,-3.714,0.222,0.00513,0.0,0.124,0.446,155.008
XO Tour Llif3,Lil Uzi Vert,https://i.scdn.co/image/ab67616d0000b27341b41e6f7924e530a9b00f9c,0.732,0.75,-6.366,0.231,0.00264,0.0,0.109,0.401,155.096
Locked out of Heaven,Bruno Mars,https://i.scdn.co/image/ab67616d0000b27349055dce3554e72e82082980,0.728,0.697,-4.125,0.0456,0.0556,0.0,0.282,0.87,143.986
Sorry,Justin Bieber,https://i.scdn.co/image/ab67616d0000b273b6d9a4fbb0bd49f0f034aead,0.654,0.76,-3.669,0.045,0.0797,0.0,0.299,0.41,99.945
Lean On (feat. MØ & DJ Snake),"Major Lazer, MØ, DJ Snake",https://i.scdn.co/image/ab67616d0000b2739f55dad3a63f72f1bc8d6f59,0.723,0.809,-3.081,0.0625,0.00346,0.00123,0.565,0.274,98.007
New Rules,Dua Lipa,https://i.scdn.co/image/ab67616d0000b273838698485511bd9108fadadc,0.762,0.7,-6.021,0.0694,0.00261,1.56e-05,0.153,0.608,116.073
Echo,Cwby,https://i.scdn.co/image/ab67616d0000b273c18c6624714a2570ada812e5,0.709,0.637,-7.752,0.0336,0.0235,0.0,0.132,0.545,120.04
There's Nothing Holdin' Me Back,Shawn Mendes,https://i.scdn.co/image/ab67616d0000b273ea3ef7697cfd5705b8f47521,0.866,0.811,-4.063,0.0553,0.375,0.0,0.078,0.969,121.995
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",https://i.scdn.co/image/ab67616d0000b273c5e7aa639b2920099f8c3b94,0.702,0.825,-3.787,0.0601,0.00883,0.0,0.0674,0.915,102.977
Too Good At Goodbyes,Sam Smith,https://i.scdn.co/image/ab67616d0000b273005cd7d0ae87b081601f6cca,0.715,0.372,-8.237,0.0443,0.638,0.0,0.169,0.474,91.931
Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",https://i.scdn.co/image/ab67616d0000b2739f5cce8304c42d3a5463fd23,0.796,0.798,-6.312,0.0317,0.034,4.19e-05,0.0952,0.942,116.032
Vybez,"Mj Grizz, Tory Lanez",https://i.scdn.co/image/ab67616d0000b2731af63b4e2ed7620395a667ca,0.617,0.543,-9.29,0.0741,0.0213,0.0,0.12,0.377,101.135
Stay With Me,Sam Smith,https://i.scdn.co/image/ab67616d0000b273c1c177e193b3ebf1a16e158f,0.414,0.419,-6.431,0.0388,0.55,0.000195,0.11,0.18,84.082
Havana (feat. Young Thug),"Camila Cabello, Young Thug",https://i.scdn.co/image/ab67616d0000b2736eb0b9e73adcf04e4ed3eca4,0.765,0.523,-4.333,0.03,0.184,3.56e-05,0.132,0.394,104.988
Lifetime Damage,The Moor,https://i.scdn.co/image/ab67616d0000b2734e7eabf9df82765b4d11fb2b,0.499,0.858,-8.266,0.0432,0.000113,0.00117,0.107,0.352,152.026
Save Your Tears,The Weeknd,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,0.679,0.825,-5.487,0.0309,0.0212,1.21e-05,0.543,0.644,118.049
Wonderwall,Oasis,https://i.scdn.co/image/ab67616d0000b2732f2eeee9b405f4d00428d84c,0.41,0.854,-5.609,0.0366,0.00236,0.0,0.133,0.456,174.584
Smells Like Teen Spirit,Nirvana,https://i.scdn.co/image/ab67616d0000b273fbc71c99f9c1296c56dd51b6,0.502,0.912,-4.556,0.0564,2.55e-05,0.000173,0.106,0.72,116.761
